id,name,aliases,latitude,longitude,category_id,category_de,group_id,fame_id,region,description,note,access,quality,quality_label,source,research,photo_page,photo_author,photo_license,photo_license_url,merged_records
10,Buarbreen,,60.04456,6.477337,glacier,Gletscher,mountain,local_tip,Hardanger,Gut sichtbarer Ausläufer des Folgefonna-Gletschers bei Odda.,Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Buerbrae_(i.e.,_Buarbreen)_Glacier,_Odde_(i.e._Odda),_Hardanger_Fjord,_Norway-LCCN2001699487.jpg",Photochrom Print Collection,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1
11,Dronningstien,,60.36533,6.704903,viewpoint,Aussichtspunkt,mountain,local_tip,Hardanger,Panorama-Höhenweg über dem Sørfjord und den Obstgärten.,Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,60,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Mountain_stream_-_Kinsarvik,_Norway_-_panoramio.jpg",Sergey Ashmarin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
12,Langfoss,Langfoss – Etne,59.840509,6.34065,waterfall,Wasserfall,water,local_tip,Sunnhordland,"Hoher, naturbelassener Wasserfall direkt am Åkrafjord.",Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Langfoss_Waterfall.JPG,Skoske,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2
13,Åkrasanden,,59.252298,5.197161,beach,Strand und Ufer,coast,local_tip,Rogaland,Heller Sandstrand und schöne Küstenwanderung auf Karmøy.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:%C3%85krasanden_05.2010.jpg,styx-x,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1
14,Nærøyfjord – Bakka,,60.9163,6.8689,fjord,Fjord,water,local_tip,Sogn,Ruhiger Uferblick in den engen UNESCO-geschützten Nærøyfjord.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,67,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:N%C3%A6r%C3%B8yfjord_-_49534268401.jpg,sergei.gussev,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,1
15,Stegastein,,60.908634,7.211773,viewpoint,Aussichtspunkt,mountain,local_tip,Sogn,Freitragende Plattform mit weitem Blick über den Aurlandsfjord.,Aufwand: Leicht; beste Zeit: Ganzjährig; Straße prüfen,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Stegastein,_Aurlandsfjorden,_Norway_20170526_163945.jpg",dconvertini,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,1
16,Brekkefossen,,60.852295,7.099288,waterfall,Wasserfall,water,local_tip,Sogn,"Kurze, steile Wanderung zu einem starken Wasserfall oberhalb von Flåm.",Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Brekkefossen_waterfall_-_Flam,_Norway_-_panoramio.jpg",Sergey Ashmarin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
17,Nigardsbreen,,61.688089,7.194453,glacier,Gletscher,mountain,local_tip,Sogn,Eindrucksvoller Arm des Jostedalsbreen; Eis nur geführt betreten.,Aufwand: Mittel; beste Zeit: Mai–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Nigardsbreen-Norway-close-up.jpg,Pjacklam,CC BY 2.5,https://creativecommons.org/licenses/by/2.5/,1
18,Feigefossen,,61.380598,7.442396,waterfall,Wasserfall,water,local_tip,Sogn,Hoher Wasserfall am stilleren Nordufer des Lustrafjords.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Feigefossen_Norway_2009.JPG,"User:Sveter (Please credit as ""Petr Šmerkl, Wikipedia"" in case you use this outside WMF projects.)",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
19,Vettisfossen,,61.379831,7.946004,waterfall,Wasserfall,water,local_tip,Sogn,"Spektakulärer, unregulierter Wasserfall im Utladalen.",Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Vettisfossen,_April_2015_-_2.jpg",Foledman,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
20,Molden,,61.345153,7.316322,viewpoint,Aussichtspunkt,mountain,local_tip,Sogn,Aussichtsberg mit großem Sognefjord-Panorama.,Aufwand: Anspruchsvoll; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Molden_-.JPG,Nils Jarle Haugen,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
21,Besseggen,,61.502927,8.726833,viewpoint,Aussichtspunkt,mountain,local_tip,Jotunheimen,Legendärer Grat zwischen Gjende und Bessvatnet.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Besseggen_Hike,_Norway_(14673663307).jpg","Nick from Bristol, UK",CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,1
22,Galdhøpiggen,,61.636472,8.312443,viewpoint,Aussichtspunkt,mountain,local_tip,Jotunheimen,Norwegens höchster Gipfel; Gletscherroute nur mit Führung.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:View_from_Galdh%C3%B8piggen_to_east.jpg,Pudelek (Marcin Szala),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
23,Gjende – Gjendesheim,,61.495413,8.809562,lake,See und Fjellvatn,water,local_tip,Jotunheimen,Idealer Zugang zum smaragdgrünen Gjendesee und vielen Touren.,Aufwand: Leicht; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,67,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Gjendevatnet.jpg,"Bosc d'Anjou from New York, NY, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,1
24,Knutshøe,,61.480005,8.754921,viewpoint,Aussichtspunkt,mountain,local_tip,Jotunheimen,Luftige Alternative zu Besseggen mit starken Gjende-Blicken.,Aufwand: Anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Knutsh%C3%B8e.jpg,Sondrekv,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1
25,Sognefjellet: Mefjellet,,61.5586,7.955771,scenic_road,Panoramastraße,roadtrip,local_tip,Jotunheimen,Skulpturaler Rastplatz an Norwegens höchster Passstraße.,Aufwand: Leicht; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,60,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Crystal_clear_water_-_panoramio.jpg,Arend Veenhuizen,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1
26,Briksdalsbreen,Briksdalsbreen (Briksdal glacier),61.664046,6.891526,glacier,Gletscher,mountain,local_tip,Nordfjord,"Klassischer Gletscherarm im Oldedalen, per Wanderweg erreichbar.",Aufwand: Leicht bis mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,80,Gut dokumentiert,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Briksdalsbreen_in_Briksdalen,_Sogn_og_Fjordane,_Norway,_2013_June_-_2.jpg",Ximonic (Simo Räsänen),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2
27,Kjenndalsbreen,,61.722789,7.014391,glacier,Gletscher,mountain,local_tip,Nordfjord,Ruhigerer Gletscherarm am Ende des grünen Lovatnet.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Loen,_Kjenndalsbreen,_Nordfjord,_Norway,_ca._1897.jpg","Detroit Publishing Co., under license from Photoglob Zürich",Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1
28,Lovatnet,,61.818536,6.966704,lake,See und Fjellvatn,water,local_tip,Nordfjord,Intensiv grüner Gletschersee zwischen steilen Bergen.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Summer_evening_at_Lovatnet,_Stryn,_Norway,_2013_June_-_3.jpg",Ximonic (Simo Räsänen),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
29,Rakssetra,,61.885272,6.775592,viewpoint,Aussichtspunkt,mountain,discovery,Nordfjord,Historische Alm mit fotogenem Blick über den Nordfjord.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,50,Vor Ort prüfen,https://www.openstreetmap.org/copyright,,,,,,1
30,Skåla,,61.868328,6.965965,viewpoint,Aussichtspunkt,mountain,local_tip,Nordfjord,Große Gipfeltour vom Fjord fast bis auf 1.848 Meter.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Loen_fra_Sk%C3%A5la.jpg,Reinhardheydt,CC0,https://creativecommons.org/publicdomain/zero/1.0/,1
31,Vestkapp,,62.187203,5.128845,beach,Strand und Ufer,coast,local_tip,Nordfjord,Wilder Küstenblick vom Hochplateau über dem offenen Meer.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Vestkapp.jpg,Tiddik,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
32,Refviksanden,,62.003663,5.088917,beach,Strand und Ufer,coast,local_tip,Nordfjord,Breiter weißer Sandstrand zwischen grünen Bergen.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Refviksanden_-_panoramio.jpg,John Christian Fjell…,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1
33,Kannesteinen,,61.970383,5.069155,beach,Strand und Ufer,coast,local_tip,Nordfjord,Vom Meer geformter pilzartiger Felsen an der Küste.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Kannesteinen_in_sunset.JPG,Frokor,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
34,Geirangerfjord: Flydalsjuvet,,62.089874,7.223149,fjord,Fjord,water,local_tip,Sunnmøre,Berühmter Aussichtspunkt über Geiranger und den UNESCO-Fjord.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Geirangerfjord_-_Flydalsjuvet.jpg,"Flickr user: Saipal Oslo,Norway http://saipal.listal.com",CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,1
35,Dalsnibba,Dalsnibba – Stranda,62.047852,7.271308,viewpoint,Aussichtspunkt,mountain,local_tip,Sunnmøre,Hochgelegener Straßen-Aussichtspunkt über Fjord und Bergwelt.,Aufwand: Leicht; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Norway_Dalsnibba.jpg,Aconcagua,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,2
36,Sieben Schwestern,,62.107385,7.093759,waterfall,Wasserfall,water,local_tip,Sunnmøre,Sieben Wasserfälle an der Steilwand des Geirangerfjords; am besten per Boot.,Aufwand: Leicht; beste Zeit: Mai–Juli,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Berge_Sieben_Schwestern_Norwegen.jpg,User:Clemensfranz,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
37,Trollstigen Aussichtspunkt,Trollstigen | Trollstigen og Stigfossen | Trollstigen og Stigfossen – Rauma,62.455001,7.672293,scenic_road,Panoramastraße,roadtrip,local_tip,Romsdal,Dramatische Serpentinen und Wasserfälle; aktuelle Straßensperren prüfen.,Aufwand: Leicht; beste Zeit: Sommer; Status prüfen,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,80,Gut dokumentiert,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Untere_Aussichtsplattform_der_Trollstigen.JPG,JøMa,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,4
38,Gudbrandsjuvet,,62.330469,7.469825,geology,Geologie und Fels,nature,local_tip,Sunnmøre,Architektonischer Steg direkt über einer tosenden Schlucht.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Gudbrandsjuvet_-_Norway_-_panoramio.jpg,Sergey Ashmarin,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
39,Romsdalseggen,,62.561073,7.710775,viewpoint,Aussichtspunkt,mountain,local_tip,Romsdal,Ausgesetzte Gratwanderung mit Blick auf Fjorde und Trollwand.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,67,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Rauma,_Norway_-_panoramio_(53).jpg",-Any-,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,1
40,Rampestreken,Rampestreken – Rauma,62.560769,7.712599,viewpoint,Aussichtspunkt,mountain,local_tip,Romsdal,Aussichtsrampe hoch über Åndalsnes und dem Romsdalsfjord.,Aufwand: Anspruchsvoll; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,60,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Rauma,_Norway_-_panoramio_(53).jpg",-Any-,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,2
41,Trollveggen,,62.489603,7.760106,viewpoint,Aussichtspunkt,mountain,local_tip,Romsdal,Blick auf Europas höchste senkrechte Felswand.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:A_cliff_near_by_Trollveggen_in_M%C3%B8re_og_Romsdal,_Norway_in_2013_June.jpg",Ximonic (Simo Räsänen),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
42,Mardalsfossen,Mardalsfossen – Molde,62.471487,8.119921,waterfall,Wasserfall,water,local_tip,Romsdal,Einer der höchsten Wasserfälle Europas; Wasserführung saisonal.,Aufwand: Mittel; beste Zeit: 20. Juni–20. August,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Mardalsfossen_Waterfall_Norway_2004.jpg,Peter John Acklam,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,2
43,Atlanterhavsvegen: Eldhusøya,,63.021248,7.371888,scenic_road,Panoramastraße,roadtrip,local_tip,Nordmøre,"Rundweg mit Nahblick auf Atlantikstraße, Brücken und Schären.",Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,67,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:.._-_panoramio_(299).jpg,Ala Kot,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,1
44,Innerdalen,,62.7219,8.776431,lake,See und Fjellvatn,water,local_tip,Nordmøre,Postkarten-Tal unter dem markanten Innerdalstårnet.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Innerdalen_fjell.jpg,GuoJunjun,CC BY-SA 3.0 no,https://creativecommons.org/licenses/by-sa/3.0/no/,1
45,Snøhetta-Aussichtspunkt,Snøhetta Aussicht,62.223861,9.490156,wilderness,Wildnis und Nationalpark,nature,local_tip,Dovrefjell,Architektur-Aussichtspunkt mit Chance auf Moschusochsen in der Ferne.,Aufwand: Leicht; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,77,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Tverfjellhytta_Norsk_villreinsenter_Sn%C3%B8hetta_viewpoint_04.jpg,FrDr,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
46,Rondane: Sohlbergplassen,,61.880446,10.184875,wilderness,Wildnis und Nationalpark,nature,highlight,Rondane,Eleganter Aussichtspunkt auf die blauen Berge Rondanes.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,60,Teilweise geprüft,https://www.openstreetmap.org/copyright,,"https://commons.wikimedia.org/wiki/File:Jules_and_Gabriel_at_the_Sohlbergplassen,_the_viewing_point_at_Atnsj%C3%B8en_lake,_Norway_julesvernex2.jpg",Jules Verne Times Two,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,1
47,Rondvassbu,,61.880432,9.795985,wilderness,Wildnis und Nationalpark,nature,local_tip,Rondane,Klassischer Ausgangspunkt für Gipfel- und Hüttentouren.,Aufwand: Mittel; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,70,Teilweise geprüft,https://www.openstreetmap.org/copyright,,https://commons.wikimedia.org/wiki/File:Rondvassbu.JPG,Glivi,Public domain,https://commons.wikimedia.org/wiki/Commons:Public_domain,1
