Name,Breitengrad,Längengrad,Kategorie,Kartengruppe,Region,Bekanntheit,Warum empfehlenswert,Hinweis,Zugangscheck,Google Maps,Quelle,Recherchequelle,Datenquelle,Datenlizenz
Buarbreen,60.044560,6.477337,Gletscher,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Gut sichtbarer Ausläufer des Folgefonna-Gletschers bei Odda.,Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.044560,6.477337",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Dronningstien,60.365330,6.704903,Wanderung & Aussicht,Natur & besondere Orte,Hardanger,Lokaler Tipp / Empfehlung,Panorama-Höhenweg über dem Sørfjord und den Obstgärten.,Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.365330,6.704903",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Langfoss,59.840509,6.340650,Wasserfall,Natur & besondere Orte,Sunnhordland,Lokaler Tipp / Empfehlung,"Hoher, naturbelassener Wasserfall direkt am Åkrafjord.",Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=59.840509,6.340650",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Åkrasanden,59.252298,5.197161,Strand & Küste,Natur & besondere Orte,Rogaland,Lokaler Tipp / Empfehlung,Heller Sandstrand und schöne Küstenwanderung auf Karmøy.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=59.252298,5.197161",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Nærøyfjord – Bakka,60.916300,6.868900,Fjord,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,Ruhiger Uferblick in den engen UNESCO-geschützten Nærøyfjord.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.916300,6.868900",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Stegastein,60.908634,7.211773,Wanderung & Aussicht,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,Freitragende Plattform mit weitem Blick über den Aurlandsfjord.,Aufwand: Leicht; beste Zeit: Ganzjährig; Straße prüfen,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.908634,7.211773",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Brekkefossen,60.852295,7.099288,Wasserfall,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,"Kurze, steile Wanderung zu einem starken Wasserfall oberhalb von Flåm.",Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=60.852295,7.099288",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Nigardsbreen,61.688089,7.194453,Gletscher,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,Eindrucksvoller Arm des Jostedalsbreen; Eis nur geführt betreten.,Aufwand: Mittel; beste Zeit: Mai–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.688089,7.194453",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Feigefossen,61.380598,7.442396,Wasserfall,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,Hoher Wasserfall am stilleren Nordufer des Lustrafjords.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.380598,7.442396",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Vettisfossen,61.379831,7.946004,Wasserfall,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,"Spektakulärer, unregulierter Wasserfall im Utladalen.",Aufwand: Anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.379831,7.946004",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Molden,61.345153,7.316322,Wanderung & Aussicht,Natur & besondere Orte,Sogn,Lokaler Tipp / Empfehlung,Aussichtsberg mit großem Sognefjord-Panorama.,Aufwand: Anspruchsvoll; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.345153,7.316322",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Besseggen,61.502927,8.726833,Wanderung & Aussicht,Natur & besondere Orte,Jotunheimen,Lokaler Tipp / Empfehlung,Legendärer Grat zwischen Gjende und Bessvatnet.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.502927,8.726833",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Galdhøpiggen,61.636472,8.312443,Wanderung & Aussicht,Natur & besondere Orte,Jotunheimen,Lokaler Tipp / Empfehlung,Norwegens höchster Gipfel; Gletscherroute nur mit Führung.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.636472,8.312443",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Gjende – Gjendesheim,61.495413,8.809562,See & Tal,Natur & besondere Orte,Jotunheimen,Lokaler Tipp / Empfehlung,Idealer Zugang zum smaragdgrünen Gjendesee und vielen Touren.,Aufwand: Leicht; beste Zeit: Juni–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.495413,8.809562",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Knutshøe,61.480005,8.754921,Wanderung & Aussicht,Natur & besondere Orte,Jotunheimen,Lokaler Tipp / Empfehlung,Luftige Alternative zu Besseggen mit starken Gjende-Blicken.,Aufwand: Anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.480005,8.754921",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Sognefjellet: Mefjellet,61.558600,7.955771,Panoramastraße,Natur & besondere Orte,Jotunheimen,Lokaler Tipp / Empfehlung,Skulpturaler Rastplatz an Norwegens höchster Passstraße.,Aufwand: Leicht; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.558600,7.955771",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Briksdalsbreen,61.664046,6.891526,Gletscher,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,"Klassischer Gletscherarm im Oldedalen, per Wanderweg erreichbar.",Aufwand: Leicht bis mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.664046,6.891526",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Kjenndalsbreen,61.722789,7.014391,Gletscher,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Ruhigerer Gletscherarm am Ende des grünen Lovatnet.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.722789,7.014391",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Lovatnet,61.818536,6.966704,See & Tal,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Intensiv grüner Gletschersee zwischen steilen Bergen.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.818536,6.966704",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Rakssetra,61.885272,6.775592,Wanderung & Aussicht,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Historische Alm mit fotogenem Blick über den Nordfjord.,Aufwand: Mittel; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.885272,6.775592",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Skåla,61.868328,6.965965,Wanderung & Aussicht,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Große Gipfeltour vom Fjord fast bis auf 1.848 Meter.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.868328,6.965965",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Vestkapp,62.187203,5.128845,Strand & Küste,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Wilder Küstenblick vom Hochplateau über dem offenen Meer.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.187203,5.128845",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Refviksanden,62.003663,5.088917,Strand & Küste,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Breiter weißer Sandstrand zwischen grünen Bergen.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.003663,5.088917",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Kannesteinen,61.970383,5.069155,Strand & Küste,Natur & besondere Orte,Nordfjord,Lokaler Tipp / Empfehlung,Vom Meer geformter pilzartiger Felsen an der Küste.,Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=61.970383,5.069155",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Geirangerfjord: Flydalsjuvet,62.089874,7.223149,Fjord,Natur & besondere Orte,Sunnmøre,Lokaler Tipp / Empfehlung,Berühmter Aussichtspunkt über Geiranger und den UNESCO-Fjord.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.089874,7.223149",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Dalsnibba,62.047852,7.271308,Wanderung & Aussicht,Natur & besondere Orte,Sunnmøre,Lokaler Tipp / Empfehlung,Hochgelegener Straßen-Aussichtspunkt über Fjord und Bergwelt.,Aufwand: Leicht; beste Zeit: Juni–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.047852,7.271308",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Sieben Schwestern,62.107385,7.093759,Wasserfall,Natur & besondere Orte,Sunnmøre,Lokaler Tipp / Empfehlung,Sieben Wasserfälle an der Steilwand des Geirangerfjords; am besten per Boot.,Aufwand: Leicht; beste Zeit: Mai–Juli,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.107385,7.093759",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Trollstigen Aussichtspunkt,62.455001,7.672293,Panoramastraße,Natur & besondere Orte,Romsdal,Lokaler Tipp / Empfehlung,Dramatische Serpentinen und Wasserfälle; aktuelle Straßensperren prüfen.,Aufwand: Leicht; beste Zeit: Sommer; Status prüfen,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.455001,7.672293",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Gudbrandsjuvet,62.330469,7.469825,Schlucht,Natur & besondere Orte,Sunnmøre,Lokaler Tipp / Empfehlung,Architektonischer Steg direkt über einer tosenden Schlucht.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.330469,7.469825",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Romsdalseggen,62.561073,7.710775,Wanderung & Aussicht,Natur & besondere Orte,Romsdal,Lokaler Tipp / Empfehlung,Ausgesetzte Gratwanderung mit Blick auf Fjorde und Trollwand.,Aufwand: Sehr anspruchsvoll; beste Zeit: Juli–September,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.561073,7.710775",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Rampestreken,62.560769,7.712599,Wanderung & Aussicht,Natur & besondere Orte,Romsdal,Lokaler Tipp / Empfehlung,Aussichtsrampe hoch über Åndalsnes und dem Romsdalsfjord.,Aufwand: Anspruchsvoll; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.560769,7.712599",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Trollveggen,62.489603,7.760106,Wanderung & Aussicht,Natur & besondere Orte,Romsdal,Lokaler Tipp / Empfehlung,Blick auf Europas höchste senkrechte Felswand.,Aufwand: Leicht; beste Zeit: Mai–Oktober,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.489603,7.760106",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Mardalsfossen,62.471487,8.119921,Wasserfall,Natur & besondere Orte,Romsdal,Lokaler Tipp / Empfehlung,Einer der höchsten Wasserfälle Europas; Wasserführung saisonal.,Aufwand: Mittel; beste Zeit: 20. Juni–20. August,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=62.471487,8.119921",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
Atlanterhavsvegen: Eldhusøya,63.021248,7.371888,Panoramastraße,Natur & besondere Orte,Nordmøre,Lokaler Tipp / Empfehlung,"Rundweg mit Nahblick auf Atlantikstraße, Brücken und Schären.",Aufwand: Leicht; beste Zeit: Ganzjährig,Siehe Hinweis im Pin; für diese frühere Auswahl wurde kein einheitlicher Straßenabstands-Check berechnet.,"https://www.google.com/maps/search/?api=1&query=63.021248,7.371888",https://www.openstreetmap.org/copyright,,OpenStreetMap-Mitwirkende; redaktionelle Auswahl und eigene Kurzbeschreibung,ODbL 1.0 (Datenbank); Kurzbeschreibungen als Teil dieser Veröffentlichung
